Age_Group,Food (per 100g),Calcium(mg),Protein(g),Carbohydrate(g),Fat(g),Calorie(kcal),Notes
0-6 BULAN,ASI (Air Susu Ibu),34,1.2,7.0,4.2,70,ASI Eksklusif direkomendasikan oleh WHO sebagai sumber nutrisi eksklusif.
0-6 BULAN,Susu Formula Bayi 0-6 bulan,50,1.5,7.2,3.6,67,Contoh merek: Bebelac Gold 1 SGM 1 Dancow 1. Ikuti petunjuk penyajian pada kemasan.
6-12 BULAN,Susu Formula Lanjutan 6-12 bulan,65,1.8,8.0,3.8,72,Contoh merek: Bebelac Gold 2 SGM 2 Dancow 2. Diperkaya dengan zat besi dan vitamin esensial.
6-8 BULAN,Bubur Susu Beras Merah,45,3.5,25.0,1.0,123,MPASI awal dengan tekstur halus. Campur beras merah halus dengan susu formula atau ASI.
6-8 BULAN,Bubur Susu Beras Putih,40,3.2,24.0,0.9,120,MPASI awal dengan tekstur halus. Campur beras putih halus dengan susu formula atau ASI.
6-8 BULAN,Pisang Lumat,6,1.2,22.8,0.2,89,Pisang matang dilumatkan hingga halus. Ideal untuk pengenalan MPASI.
6-8 BULAN,Pure Alpukat,10,2.0,8.5,14.7,160,Alpukat matang dilumatkan. Sumber lemak baik untuk perkembangan otak bayi.
6-8 BULAN,Pure Apel,5,0.3,13.8,0.2,52,Apel kukus yang dihaluskan. Pastikan teksturnya sangat halus untuk menghindari risiko tersedak.
6-8 BULAN,Pure Wortel,33,0.9,9.6,0.2,41,Wortel kukus yang dihaluskan. Kaya beta-karoten yang baik untuk penglihatan.
6-8 BULAN,Nasi Tim Saring,10,2.1,28.0,0.3,123,Nasi yang sangat halus dan dicampur dengan kaldu sayur atau daging.
6-8 BULAN,Bubur Ayam Saring,15,4.5,15.0,2.5,101,Ayam rebus yang dihaluskan dan dicampur dengan nasi halus. Tinggi protein.
6-8 BULAN,Pure Kentang,12,2.0,17.0,0.1,77,Kentang kukus yang dihaluskan. Sumber karbohidrat yang baik.
6-8 BULAN,Pure Ubi Jalar Kuning,30,1.6,20.0,0.1,86,Ubi jalar kukus yang dihaluskan. Kaya vitamin A.
6-8 BULAN,Sup Bayam Saring,99,3.0,3.6,0.4,23,Bayam rebus yang dihaluskan dan disaring. Kaya zat besi.
6-8 BULAN,Pure Labu Kuning,21,1.1,6.5,0.1,26,Labu kuning kukus yang dihaluskan. Sumber beta-karoten.
9-12 BULAN,Tim Ikan Giling,20,16.0,0.0,1.0,74,Ikan kukus yang digiling halus. Sumber omega-3 yang baik.
9-12 BULAN,Tim Hati Ayam,8,16.6,0.0,3.2,94,Hati ayam rebus yang dihaluskan. Kaya zat besi dan vitamin A.
9-12 BULAN,Tim Daging Sapi Giling,7,18.8,0.0,14.0,200,Daging sapi rebus yang digiling. Tinggi protein dan zat besi.
9-12 BULAN,Bubur Kacang Hijau,125,7.5,19.0,0.5,112,Kacang hijau yang direbus dan dihaluskan. Sumber protein nabati.
9-12 BULAN,Pure Tofu,105,8.0,1.9,4.8,76,Tofu yang dihaluskan. Sumber protein dan kalsium.
9-12 BULAN,Oatmeal Bayi,54,2.4,12.0,1.4,71,Oatmeal yang dimasak dengan tekstur sangat halus. Sumber serat.
9-12 BULAN,Biskuit Bayi,170,6.3,75.0,9.0,408,Biskuit khusus bayi yang mudah larut dalam mulut. Sumber energi cepat.
9-12 BULAN,Pure Brokoli,47,2.8,7.0,0.4,34,Brokoli kukus yang dihaluskan. Kaya antioksidan dan vitamin C.
9-12 BULAN,Sup Tahu Wortel,80,5.2,4.8,3.2,69,Tahu dan wortel yang dihaluskan dalam sup. Sumber protein dan beta-karoten.
9-12 BULAN,Pure Edamame,63,11.0,8.9,4.7,121,Edamame yang dihaluskan. Tinggi protein dan lemak sehat.
12+ BULAN,Bubur Sumsum,95,3.2,32.0,2.1,160,Bubur sumsum tulang sapi. Kaya kalsium dan protein.
